
Research table: 
number of process   |parallel time       |non parallel time   
1                   |6.256318            |6.850885            
6                   |1.989680            |6.943864            
11                  |2.121084            |6.832027            
16                  |2.090732            |6.774567            
21                  |2.003703            |6.760033            
26                  |2.091021            |6.771672            
31                  |2.129621            |6.804583            
36                  |2.081821            |6.809421            
41                  |2.256058            |6.859329            
46                  |2.056841            |7.006708            
BEST TIME IS 1.989680 WITH 2 PROCESSES
